98	26	51
18	44	58
24	20	17
95	82	68
42	92	79
54	73	37
38	73	4
90	7	51
42	15	82
67	97	18
9	4	22
12	7	94
2	36	67
100	2	23
21	67	39
27	78	86
7	69	33
72	41	14
5	89	46
46	44	68
55	72	47
20	88	72
28	32	6
22	83	10
93	76	14
66	58	57
96	55	31
51	77	36
3	54	100
52	29	60
99	68	81
41	29	51
1	26	15
3	52	85
59	51	1
57	99	55
82	54	50
31	86	57
91	51	1
88	92	27
21	39	27
52	98	57
19	85	59
39	62	43
57	20	87
29	1	38
43	5	26
15	93	52
24	78	31
38	19	33
60	2	24
50	16	59
5	71	97
75	14	8
47	98	74
5	31	26
44	84	99
63	77	63
53	56	88
28	68	65
63	100	15
68	68	64
18	66	80
72	62	69
19	21	19
88	88	99
98	2	10
71	53	14
9	19	16
7	29	99
23	82	49
84	100	50
1	28	25
69	40	3
79	6	21
13	4	38
28	1	14
36	96	78
23	1	66
43	2	94
93	29	26
17	18	50
6	48	87
100	10	83
26	81	52
89	30	63
3	89	76
14	10	62
29	25	95
93	90	40
29	33	37
44	81	5
27	23	81
82	27	67
44	76	65
60	89	9
99	99	86
40	5	41
45	66	20
15	6	19
93	17	3
99	61	90
20	38	36
80	69	66
77	96	36
61	94	63
52	56	96
60	48	45
96	89	73
52	37	74
21	51	31
94	7	44
64	3	5
82	89	42
5	36	41
10	56	73
8	25	6
4	50	35
46	83	78
69	27	26
41	39	17
99	6	39
91	45	14
8	83	68
66	92	14
96	45	27
80	20	37
2	9	20
66	61	70
34	93	97
27	1	61
16	46	57
14	38	59
50	81	19
93	30	7
33	18	51
33	80	76
27	1	38
76	73	34
73	60	55
63	12	98
41	59	19
92	17	46
27	23	2
65	1	63
90	91	49
79	86	18
86	92	46
28	32	98
81	44	52
76	92	21
68	13	97
87	46	28
36	83	96
40	29	59
98	2	91
29	72	87
54	4	57
13	23	48
24	59	29
41	78	68
96	59	54
47	77	93
84	15	71
30	44	53
80	75	58
66	48	76
54	38	73
96	32	87
91	34	39
24	77	52
22	90	51
20	94	85
87	96	85
49	88	78
85	13	46
16	45	23
98	34	61
70	11	13
38	35	67
31	85	96
63	53	95
31	84	66
72	60	72
42	28	38
77	21	62
26	18	54
17	83	86
90	45	44
60	75	38
57	61	37
12	32	95
55	90	74
85	29	49
11	20	85
57	6	9
24	79	68
84	2	33
70	97	51
89	82	88
74	54	91
82	43	63
24	58	72
91	31	41
86	91	39
92	29	47
74	30	67
49	70	43
81	38	22
62	67	20
6	2	79
94	56	14
85	63	90
84	16	88
34	65	83
92	68	16
91	11	27
62	87	73
84	51	92
30	46	61
54	69	82
60	3	44
10	85	27
39	45	51
90	57	86
64	39	91
96	93	82
2	50	64
23	67	13
9	39	56
8	9	39
25	27	31
86	99	39
31	82	39
95	39	10
98	93	30
26	33	71
83	75	4
76	16	21
57	97	97
76	88	34
65	50	61
42	85	79
65	25	10
82	12	4
62	81	47
68	88	33
54	91	19
100	74	35
6	30	67
58	56	60
72	45	81
74	55	51
77	73	4
42	17	1
20	26	36
45	77	69
67	19	72
78	76	100
70	28	38
56	80	4
78	30	69
14	59	50
6	55	99
83	77	68
44	86	29
55	48	76
1	28	6
59	37	89
80	66	40
14	38	77
73	97	35
50	58	27
15	79	71
4	18	12
30	1	90
49	24	41
10	4	88
63	24	88
40	39	91
27	16	13
60	66	97
29	98	8
85	5	77
27	88	34
45	97	82
52	59	97
50	79	81
85	24	31
89	93	85
38	48	27
73	84	37
62	61	91
43	44	60
72	32	7
48	24	36
38	52	49
30	86	97
23	27	85
10	7	64
6	24	72
21	54	29
98	81	92
42	1	40
72	66	45
83	100	87
92	57	91
47	54	53
70	33	66
19	54	84
18	22	66
83	68	21
7	65	65
80	97	5
52	42	45
87	96	62
81	47	16
38	50	19
39	26	82
21	56	11
95	49	9
6	92	12
72	2	41
31	92	62
68	39	88
30	5	28
30	37	45
31	6	24
66	94	24
31	24	72
75	19	12
93	11	52
62	22	1
2	94	7
86	33	21
66	31	44
40	75	93
82	27	21
89	66	98
15	50	38
53	78	41
76	44	84
86	69	100
23	35	42
4	66	28
19	100	17
56	100	35
73	30	77
28	23	20
63	75	60
88	12	68
69	67	3
98	19	1
88	85	27
74	29	65
90	31	66
83	59	4
97	16	17
17	21	23
84	49	4
2	11	26
64	100	28
81	74	13
34	91	100
66	95	90
49	3	15
50	31	50
64	50	88
73	12	91
86	1	40
92	7	23
94	2	48
100	97	97
1	62	57
21	100	33
67	80	60
41	70	67
9	93	60
8	95	95
13	57	19
54	5	8
73	99	99
10	97	41
33	69	67
75	100	49
77	66	91
99	54	79
38	93	61
25	71	49
96	87	100
4	47	43
88	32	21
70	39	80
67	87	61
19	33	78
12	87	72
45	60	58
30	35	53
3	28	12
51	81	73
2	81	7
40	93	19
14	83	13
100	5	70
85	12	20
99	77	74
12	22	18
74	69	71
94	86	65
35	61	74
10	67	22
75	13	63
68	14	22
45	74	74
13	93	54
95	63	52
93	22	57
36	11	37
65	11	36
39	74	69
71	79	59
7	54	4
26	1	47
82	10	96
46	68	58
85	10	26
47	73	5
22	66	64
86	64	44
70	87	4
28	21	18
5	34	69
20	68	8
30	4	89
79	93	11
88	88	40
69	41	22
18	91	37
17	94	81
35	5	28
54	65	49
76	60	27
98	59	47
33	15	7
22	95	23
66	16	60
27	45	69
30	33	92
62	59	96
24	12	45
70	92	13
82	20	60
51	56	61
86	91	44
79	46	74
34	19	72
79	74	10
10	58	54
5	83	64
84	93	54
1	32	29
37	42	3
38	54	93
37	74	49
55	100	30
66	80	34
60	54	61
7	61	93
57	21	63
3	95	91
73	19	62
11	100	69
46	85	65
44	42	73
79	13	45
69	30	78
65	23	53
36	98	26
18	84	2
42	67	2
38	49	98
61	20	79
35	63	89
85	76	25
36	4	17
56	25	10
83	96	94
25	59	48
59	3	34
64	81	96
95	38	2
79	60	83
38	62	74
54	91	8
52	86	61
66	7	17
3	72	67
45	68	2
5	47	23
13	82	72
65	79	90
92	49	85
26	33	63
55	63	79
77	76	81
54	29	95
20	35	64
47	39	57
15	29	80
48	7	97
54	78	42
28	45	10
18	38	7
99	85	1
29	25	78
98	57	64
27	39	20
1	93	22
23	81	97
82	13	29
9	28	11
81	60	74
19	97	61
88	58	42
62	90	78
42	82	22
2	83	71
20	77	19
73	14	55
51	89	45
23	86	85
55	47	13
10	34	63
81	48	19
74	65	32
39	25	80
26	18	73
57	44	36
77	67	94
51	21	41
39	73	43
35	28	42
17	58	63
40	19	94
36	1	10
95	46	61
83	7	51
79	95	70
52	59	83
63	81	57
21	37	31
82	59	30
92	68	79
63	76	66
